target_id	length	eff_length	est_counts	tpm
AAA-750000-UP-4	1059	888.868	8825	51692.5
ABA-187500-UP-4	523	352.868	1009	14887.8
ACA-46875-UP-4	1033	862.868	505	3047.18
ADA-23438-UP-4	1022	851.868	240	1466.86
AEA-11719-UP-4	1991	1820.87	282	806.345
AFA-5859-UP-4	1124	953.868	98	534.919
AGA-2930-UP-4	521	350.868	36	534.207
AHA-2930-UP-4	771	600.868	32	277.282
AIA-1465-UP-4	1023	852.868	13	79.3619
AJA-732-UP-4	644	473.868	4	43.9494
AKA-732-UP-4	538	367.868	6	84.9199
ALA-366-UP-4	1023	852.868	7	42.7333
AMA-183-UP-4	537	366.868	2	28.3838
ANA-183-UP-4	844	673.868	2	15.4527
APA-92-UP-4	1130	959.868	2	10.8485
ARA-46-UP-4	2022	1851.87	0	0
ASA-46-UP-4	274	111.037	1	46.8902
ATA-23-UP-4	1023	852.868	0	0
AUA-11-UP-4	523	352.868	0	0
AVA-11-UP-4	494	323.868	0	0
AWA-6-UP-4	1022	851.868	0	0
AXA-3-UP-4	1136	965.868	0	0
AYA-1-UP-4	1022	851.868	0	0
BAB-1500000-SAME-1	1107	936.868	22796	126687
BBB-375000-SAME-1	505	334.868	2120	32961.9
BCB-93750-SAME-1	984	813.868	679	4343.76
BDB-46875-SAME-1	1023	852.868	694	4236.7
BEB-23438-SAME-1	523	352.868	211	3113.3
BFB-11719-SAME-1	1130	959.868	114	618.363
BGB-5859-SAME-1	1994	1823.87	131	373.963
BHB-5859-SAME-1	274	111.037	4	187.561
BIB-2930-SAME-1	1023	852.868	35	213.667
BJB-1465-SAME-1	494	323.868	7	112.533
BKB-1465-SAME-1	1118	947.868	7	38.4504
BLB-732-SAME-1	1019	848.868	24	147.205
BMB-366-SAME-1	743	572.868	2	18.1772
BNB-366-SAME-1	644	473.868	2	21.9747
BPB-183-SAME-1	1138	967.868	5	26.897
BRB-92-SAME-1	536	365.868	0	0
BSB-92-SAME-1	603	432.868	0	0
BTB-46-SAME-1	1027	856.868	2	12.1525
BUB-23-SAME-1	2022	1851.87	1	2.81152
BVB-23-SAME-1	493	322.868	1	16.126
BWB-11-SAME-1	1024	853.868	0	0
BXB-6-SAME-1	1136	965.868	0	0
BYB-1-SAME-1	1023	852.868	0	0
CAC-2250000-DOWN-0.67	522	351.868	22967	339840
CBC-562500-DOWN-0.67	840	669.868	7817	60757.7
CCC-140625-DOWN-0.67	1042	871.868	1120	6688.33
CDC-70312-DOWN-0.67	994	823.868	1048	6622.99
CEC-35156-DOWN-0.67	642	471.868	232	2559.87
CFC-17578-DOWN-0.67	1156	985.868	264	1394.23
CGC-8789-DOWN-0.67	523	352.868	52	767.258
CHC-8789-DOWN-0.67	642	471.868	75	827.544
CIC-4395-DOWN-0.67	994	823.868	67	423.416
CJC-2197-DOWN-0.67	1350	1179.87	24	105.908
CKC-2197-DOWN-0.67	274	111.037	7	328.232
CLC-1099-DOWN-0.67	1019	848.868	22	134.938
CMC-549-DOWN-0.67	784	613.868	2	16.9631
CNC-549-DOWN-0.67	740	569.868	6	54.8185
CPC-275-DOWN-0.67	1136	965.868	9	48.5149
CRC-137-DOWN-0.67	536	365.868	0	0
CSC-137-DOWN-0.67	744	573.868	1	9.07274
CTC-69-DOWN-0.67	1022	851.868	1	6.11193
CUC-34-DOWN-0.67	536	365.868	0	0
CVC-34-DOWN-0.67	844	673.868	0	0
CWC-17-DOWN-0.67	994	823.868	0	0
CXC-9-DOWN-0.67	1143	972.868	0	0
CYC-2-DOWN-0.67	1021	850.868	0	0
DAD-3000000-DOWN-0.5	1061	890.868	42220	246749
DBD-750000-DOWN-0.5	522	351.868	3181	47068.9
DCD-187500-DOWN-0.5	1023	852.868	3035	18527.9
DDD-93750-DOWN-0.5	1023	852.868	1884	11501.4
DED-46875-DOWN-0.5	751	580.868	336	3011.7
DFD-23438-DOWN-0.5	1136	965.868	441	2377.23
DGD-11719-DOWN-0.5	872	701.868	82	608.287
DHD-11719-DOWN-0.5	644	473.868	98	1076.76
DID-5859-DOWN-0.5	993	822.868	99	626.405
DJD-2930-DOWN-0.5	543	372.868	24	335.125
DKD-2930-DOWN-0.5	525	354.868	32	469.498
DLD-1465-DOWN-0.5	743	572.868	27	245.392
DMD-732-DOWN-0.5	1957	1786.87	12	34.9655
DND-732-DOWN-0.5	273	110.211	0	0
DPD-366-DOWN-0.5	1137	966.868	6	32.3098
DRD-183-DOWN-0.5	537	366.868	0	0
DSD-183-DOWN-0.5	808	637.868	0	0
DTD-92-DOWN-0.5	1024	853.868	1	6.09761
DUD-46-DOWN-0.5	1122	951.868	2	10.9397
DVD-46-DOWN-0.5	534	363.868	0	0
DWD-23-DOWN-0.5	1020	849.868	0	0
DXD-11-DOWN-0.5	1136	965.868	0	0
DYD-3-DOWN-0.5	992	821.868	0	0
